462.5765 461.7719 -12.0721 -12.7240 466.8540 453.2664 459.7468 459.7642 -15.9745
1072.7947 1070.4286 -28.2076 -27.1793 1086.8963 1055.3204 1068.5172 1072.3652 -35.5735
564.0679 562.9278 -14.7231 -15.0062 570.3381 553.8349 561.1023 562.3601 -19.1004
1276.0288 1273.3248 -33.4632 -32.1007 1293.7411 1256.0908 1271.5262 1276.6469 -41.9506
1275.8020 1273.0781 -33.4092 -31.9339 1293.7949 1256.2925 1271.4192 1276.9499 -41.9278
1988.6148 1984.6025 -52.3347 -49.5590 2016.7617 1957.6193 1982.1752 1989.7726 -64.8798
1174.3576 1171.9797 -30.7857 -29.6936 1190.3442 1155.6564 1170.0494 1174.4804 -38.6134
258.5225 258.2135 -6.5684 -7.3781 260.3093 253.0907 256.4165 256.6305 -9.1383
258.1161 257.5304 -6.5265 -7.1123 260.5265 253.6232 256.3348 257.2229 -9.3676
1581.5373 1577.9064 -41.7801 -39.2826 1603.3655 1556.7414 1575.9163 1582.3009 -52.1037
1683.3139 1679.6183 -44.4198 -41.9212 1706.7474 1656.9398 1677.5520 1684.0908 -55.3070
1072.7802 1070.4637 -28.2525 -27.2305 1086.9336 1055.2539 1068.5667 1072.3855 -35.4550
665.0577 663.1687 -17.4785 -16.4792 673.6314 654.9199 661.9861 665.6371 -22.6304
1785.3355 1781.5830 -47.1368 -44.7295 1810.1040 1756.9082 1779.2585 1785.7345 -58.3802
1785.0997 1781.4297 -47.0296 -44.6593 1810.1933 1757.0881 1779.2371 1785.9026 -58.3506
461.5995 460.6114 -11.9284 -12.0798 467.2329 454.1486 459.3509 461.3085 -15.7373
563.1628 561.8395 -14.6479 -14.1147 570.3631 554.5759 560.5327 563.5889 -19.0859
1378.2395 1375.4203 -36.3605 -34.8740 1396.8593 1355.8174 1373.2675 1377.8703 -45.2377
971.1452 968.9857 -25.6940 -24.6993 983.4313 954.8240 967.0529 970.1609 -32.3362
868.8528 866.9197 -22.8280 -21.9824 880.3831 855.0363 865.3734 869.0036 -28.8518
563.3320 561.9537 -14.7315 -14.2883 570.3713 554.4582 560.7137 563.2898 -19.2336
1174.3858 1171.9607 -30.9236 -29.6701 1190.2648 1155.5569 1170.1128 1174.3057 -38.7302
767.3810 765.7608 -20.2212 -19.7201 776.9296 754.4344 764.0213 766.5006 -25.6300
461.7064 460.2573 -12.2514 -11.5548 466.8246 454.1196 459.0035 461.4169 -16.1144
563.8995 562.9308 -14.7648 -15.0213 570.3647 553.7733 561.1975 562.2899 -18.9955
2192.1201 2187.4532 -57.9361 -54.4000 2223.4144 2158.1594 2185.1799 2193.9207 -71.4396
868.8618 866.8209 -22.9365 -21.8349 880.2692 855.0082 865.2888 869.0309 -28.9302
1581.5771 1578.3118 -41.7721 -39.6603 1603.4976 1556.4555 1576.2114 1581.9806 -51.7728
1581.5950 1578.2594 -41.8260 -39.5647 1603.4189 1556.4442 1576.1439 1581.9946 -51.8319
563.5480 562.4902 -14.7192 -14.7818 570.5356 554.1014 561.0164 562.9961 -18.8086
563.3995 561.6389 -15.0186 -13.8434 570.0326 554.4319 560.4358 563.3765 -19.5531
1276.1502 1273.5788 -33.6583 -32.2217 1293.6425 1255.7346 1271.6657 1276.3356 -41.7987
1276.2739 1273.5343 -33.7972 -32.0420 1293.4125 1255.6493 1271.5523 1276.1914 -42.0259
767.1679 765.5847 -20.2144 -19.6251 777.0020 754.5446 763.9879 766.7400 -25.5267
563.4980 562.9556 -14.6058 -14.7375 570.2139 553.7864 560.9722 562.3784 -18.7133
868.9079 867.1422 -22.9040 -22.1268 880.3613 854.8069 865.5104 868.7496 -28.7226
1479.7640 1476.5479 -39.2140 -36.9344 1500.0470 1456.2145 1474.5466 1480.1811 -48.5868
1072.4742 1070.5015 -28.2019 -27.3170 1087.0937 1055.2265 1068.6891 1072.4831 -35.0902
